"Part Number","Free Stock","Retail","NPP"
"0004","4","8.99",""
"0005","4","39.99",""
"0011","8","10.99",""
"0012","5","39.99",""
"0039","2","7.99",""
"0143","0","7.99",""
"0172","5","26.99",""
"0175","0","28.99",""
"0225","2","32.99",""
"025875","2","115.00",""
"025882","1","134.99",""
"029682","0","31.99",""
"029705","2","64.99",""
"029712","1","115.99",""
"033993","1","239.99",""
"041318","1","22.99",""
"041875","1","14.99",""
"041882","1","19.99",""
"041905","2","9.99",""
"041912","1","8.99",""
"041929","2","8.99",""
"0429","5","24.99",""
"043107","1","6.99",""
"044166","1","3.99",""
"045101","1","11.99",""
"056336","1","36.99",""
"056343","2","54.99",""
"0602","7","11.99",""
"0603","6","13.99",""
"064973","1","79.99",""
"064997","1","36.99",""
"065048","0","39.99",""
"0662","16","7.99",""
"069633","1","179.99",""
"0697","7","13.99",""
"0698","1","49.99",""
"0793","1","13.99",""
"0794","6","39.99",""
"08022","10","1.99",""
"08023","5","1.99",""
"08339","4","9.99",""
"084414","1","7.99",""
"084421","1","7.99",""
"084445","1","11.99",""
"086104","1","22.99",""
"086128","2","39.99",""
"086548","1","25.99",""
"086593","1","13.99",""
"086609","2","10.99",""
"087224","1","7.99",""
"087231","1","9.99",""
"087248","1","11.99",""
"087255","1","11.99",""
"087262","1","14.99",""
"087279","1","15.99",""
"10100","0","17.99",""
"101343","1","2.99",""
"101375","2","1.99",""
"101377","2","1.99",""
"101384","2","1.99",""
"101388","2","1.99",""
"101404","2","1.99",""
"101468","2","1.99",""
"101474","2","1.99",""
"101476","2","1.99",""
"101478","2","1.99",""
"101479","3","1.99",""
"101497","2","1.99",""
"101504","2","1.99",""
"101505","5","1.99",""
"101506","4","1.99",""
"101586","2","1.99",""
"101590","2","1.99",""
"101591","2","1.99",""
"101678","2","1.99",""
"101679","2","1.99",""
"101681","2","1.99",""
"101685","2","1.99",""
"101687","2","1.99",""
"101688","2","1.99",""
"101689","2","1.99",""
"1019","7","5.99",""
"1020","21","9.99",""
"1021","6","19.99",""
"102428","2","3.99",""
"102442","10","2.49",""
"102789","0","19.99",""
"1031","12","9.99",""
"10400030","2","13.99",""
"10400050","1","7.99",""
"10400073","3","13.99",""
"10400153","4","7.99",""
"10405320","2","7.99",""
"10407310","2","6.99",""
"10407510","2","6.99",""
"10409310","2","6.99",""
"1041","5","11.99",""
"10410310","3","6.99",""
"10412310","2","6.99",""
"10413310","2","6.99",""
"10416310","2","6.99",""
"10417310","2","6.99",""
"10419240","2","6.99",""
"10419310","2","6.99",""
"10421310","2","7.99",""
"10424343","1","7.99",""
"10425340","1","6.99",""
"10429311","3","7.99",""
"104293343","0","7.99",""
"10429340","2","6.99",""
"10429343","16","7.99",""
"10430340","3","6.99",""
"10430343","3","6.99",""
"1059","5","13.99",""
"1060","3","49.99",""
"1066","5","13.99",""
"1067","4","49.99",""
"1082","0","6.99",""
"110372","2","3.49",""
"110373","2","2.99",""
"110404","2","3.49",""
"110405","2","3.49",""
"110406","2","3.49",""
"110410","2","2.89",""
"110411","2","2.99",""
"11100007","2","32.99",""
"11100680","4","34.99",""
"11100766.01","4","42.99",""
"11100767.01","4","42.99",""
"11100768","3","42.99",""
"11100770","4","44.99",""
"11101024","2","46.99",""
"11101025","2","46.99",""
"11101038.01","2","28.99",""
"11101039.01","2","28.99",""
"11101043","2","20.99",""
"11101075","2","26.99",""
"11101135.02","2","36.99",""
"11101146.01","0","29.99",""
"11101334","2","48.99",""
"11101394","2","20.99",""
"1111111W","2","34.99",""
"1111112W","2","34.99",""
"1111113W","2","34.99",""
"1111114W","2","34.99",""
"1111115W","2","34.99",""
"1111116W","2","34.99",""
"1111117W","2","34.99",""
"1111118W","2","34.99",""
"1111119W","2","34.99",""
"1111120W","2","34.99",""
"1111121W","1","10.99",""
"1111122W","1","11.99",""
"1111123W","2","11.99",""
"1111124W","2","11.99",""
"1111125W","2","11.99",""
"1111126W","2","11.99",""
"1111213W","1","14.99",""
"1111214W","2","14.99",""
"1111215W","2","14.99",""
"1111257W","2","11.99",""
"1111258W","2","11.99",""
"1111308W","2","34.99",""
"1111309W","1","32.99",""
"1111330W","0","24.99",""
"1111341W","1","4.99",""
"1111342W","1","7.99",""
"1111343W","1","9.99",""
"1111344W","1","14.99",""
"1111345W","1","11.99",""
