SKU,Name,Meta: _wc_gla_synced_at,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
532010,Thule Twin Pack Bike Rack (532010),,BRAND,Thule,1,1
938100,Thule Velospace XT Bike Adaptor (938100),1671721621,BRAND,Thule,1,1
938200,Thule Velospace XT 3rd Bike Arm (938200),1671721621,BRAND,Thule,1,1
TH532,Thule Freeride Roof Top Bike Rack (TH532),1671721621,BRAND,Thule,1,1
TH598,Thule Proride Aluminium Carrier (Th598),1671721621,BRAND,Thule,1,1
TH598B,Thule Proride Black Bike Carrier (Th598b),1671721621,BRAND,Thule,1,1
599001,Thule Upride Cycle Carrier (599001),1671721621,BRAND,Thule,1,1
938021,Thule Velospace XT 2 Bike Rack (938021),1671721621,BRAND,Thule,1,1
972000,Thule Hang-On Tiltable Towbar Carrier (972000),1671721621,BRAND,Thule,1,1
TH840000,Thule K-Guard Carrier (TH840000),1671721621,BRAND,Thule,1,1
TH970,THULE Xpress 2 bike hanging towbar bike rack - Aluminium (TH970),1671721621,BRAND,Thule,1,1
TH753,Thule Evo Footpack New Raised (TH753),1671721621,BRAND,Thule,1,1
710500,Thule Evo Footpack (710500),1671721621,BRAND,Thule,1,1
710600,Thule Evo Footpack (710600),1671721621,BRAND,Thule,1,1
710700,Thule Evo Footpack (710700),1671721621,BRAND,Thule,1,1
KIT7003,Thule Fitting Kit (Kit 7003),1671721621,BRAND,Thule,1,1
KIT7008,Thule Fitting Kit (Kit 7008),1671721621,BRAND,Thule,1,1
KIT7010,Thule Fitting Kit (Kit  7010),1671721621,BRAND,Thule,1,1
KIT7013,Thule Fitting Kit (Kit 7013),1671721621,BRAND,Thule,1,1
KIT7014,Thule Fitting Kit (Kit 7014),1671721621,BRAND,Thule,1,1
KIT7019,Thule Fitting Kit (Kit 7019),1671721621,BRAND,Thule,1,1
KIT7022,Thule Fitting Kit (Kit 7022),1671721621,BRAND,Thule,1,1
KIT7024,Thule Fitting Kit (Kit 7024),1671721621,BRAND,Thule,1,1
KIT7029,Thule Fitting Kit (Kit 7029),1671721621,BRAND,Thule,1,1
KIT7032,Thule Fitting Kit (Kit 7032),1671721621,BRAND,Thule,1,1
KIT7039,Thule Fitting Kit (Kit 7039),1671721621,BRAND,Thule,1,1
KIT7043,Thule Fitting Kit (Kit 7043),1671721621,BRAND,Thule,1,1
KIT7055,Thule Fitting Kit (Kit 7055),1671721621,BRAND,Thule,1,1
KIT7057,Thule Fitting Kit (Kit 7057),1671721621,BRAND,Thule,1,1
KIT7058,Thule Fitting Kit (Kit 7058),1671721621,BRAND,Thule,1,1
KIT7084,Thule Fitting Kit (Kit 7084),1671721621,BRAND,Thule,1,1
KIT7089,Thule Fitting Kit (Kit 7089),1671721621,BRAND,Thule,1,1
KIT7090,Thule Fitting Kit (Kit 7090),1671721621,BRAND,Thule,1,1
KIT7092,Thule Fitting Kit (Kit 7092),1671721621,BRAND,Thule,1,1
KIT3042,Thule Rapid Kit (Kit 3042),,BRAND,Thule,1,1
KIT1323,Thule Rapid Kit (Kit 1323),1671721621,BRAND,Thule,1,1
KIT1642,Thule Rapid Fixing Kit (Kit 1642),1671721621,BRAND,Thule,1,1
KIT1324,Thule Rapid Fixing Kit (Kit 1324),1671721621,BRAND,Thule,1,1
KIT1814,Thule Rapid Fitting Kit (Kit 1814),1671721621,BRAND,Thule,1,1
KIT3017,Thule Rapid Fixpoint Kit (Kit 3017),1671721621,BRAND,Thule,1,1
KIT3024,Thule Rapid Fixpoint Kit (Kit 3024),1671721621,BRAND,Thule,1,1
KIT3027,Thule Rapid Fitting Kit (Kit 3027),1671721621,BRAND,Thule,1,1
KIT3028,Thule Rapid Fixpoint Kit (Kit 3028),1671721621,BRAND,Thule,1,1
KIT3030,Thule Fixpoint XT Fitting Kit (Kit 3030),,BRAND,Thule,1,1
KIT3039,Thule Rapid Fixpoint Kit (Kit 3039),1671721621,BRAND,Thule,1,1
KIT3040,Thule Rapid Fixpoint Kit (Kit 3040),,BRAND,Thule,1,1
KIT3049,Thule Fixpoint XT Kit (Kit 3049),,BRAND,Thule,1,1
KIT3057,Thule Rapid Fixpoint Kit (Kit 3057),1671721621,BRAND,Thule,1,1
KIT3069,Thule Fitting Kit (Kit 3069),1671721621,BRAND,Thule,1,1
KIT3072,Thule Fixpoint XT Kit (Kit 3072),1671721621,BRAND,Thule,1,1
KIT3087,Thule Rapid Fixpoint Kit (Kit 3087),,BRAND,Thule,1,1
KIT3089,Thule  Fixpoint XT Kit 3089,1671721621,BRAND,Thule,1,1
KIT3090,Thule Fixpoint XT Kit (Kit 3090),1671721621,BRAND,Thule,1,1
KIT3104,Thule Rapid Fixpoint Kit (Kit 3104),1671721621,BRAND,Thule,1,1
KIT3107,Thule Rapid Fixpoint Kit (Kit 3107),1671721621,BRAND,Thule,1,1
KIT3117,Thule Rapid Fixpoint Kit (Kit 3117),1671721621,BRAND,Thule,1,1
KIT3118,Thule Rapid Fixpoint Kit (Kit 3118),1671721621,BRAND,Thule,1,1
KIT3119,Thule Rapid Fixpoint Kit (Kit 3119),1671721621,BRAND,Thule,1,1
KIT3133,Thule Rapid Fixpoint Kit (Kit 3133),1671721621,BRAND,Thule,1,1
KIT3136,Thule Fixpoint XT Kit (Kit 3136),1671721621,BRAND,Thule,1,1
KIT3143,Thule Fixpoint XT Kit (Kit 3143),1671721621,BRAND,Thule,1,1
KIT3145,Thule Rapid Kit (Kit 3145),1671721621,BRAND,Thule,1,1
KIT3149,Thule Rapid Kit (Kit 3149),1671721621,BRAND,Thule,1,1
KIT4003,Thule Fixpoint Flush Kit (Kit 4003),1671721621,BRAND,Thule,1,1
KIT5002,Thule Evo Fitting Kit (Kit 5002),1671721621,BRAND,Thule,1,1
KIT5003,Thule Evo Fitting Kit (Kit 5003),1671721621,BRAND,Thule,1,1
KIT5005,Thule Evo Fitting Kit (Kit 5005),1671721621,BRAND,Thule,1,1
KIT5006,Thule Evo Fitting Kit 5006,1671721621,BRAND,Thule,1,1
